[INFO] Creating 16 parallel environments...
[INFO] Using DummyVecEnv (no IPC overhead!)
[INFO] State Dimension: 105
[INFO] Action Dimension: 8
[INFO] Parallel Envs: 16
[INFO] Rollout Steps: 512
[INFO] Expected Time: ~30-35 minutes for 8M steps!
[INFO] HEIGHT STABILITY PENALTY MODE!
[INFO] Penalty Coefficient: 5.0 (strong anti-hopping!)

============================================================
[START] ANTI-HOPPING TRAINING (Height Stability Penalty!)
============================================================

[EPISODE 251] Step: 54,336 | Reward: -6.00 | Avg-100: -64.45 | Speed: 33218 steps/s
[EPISODE 252] Step: 55,456 | Reward: -66.00 | Avg-100: -64.88 | Speed: 54797 steps/s
[EPISODE 253] Step: 55,584 | Reward: -4.98 | Avg-100: -64.47 | Speed: 470722 steps/s
[EPISODE 254] Step: 56,048 | Reward: -54.30 | Avg-100: -64.82 | Speed: 134156 steps/s
[EPISODE 255] Step: 56,448 | Reward: -31.84 | Avg-100: -64.97 | Speed: 154531 steps/s
[EPISODE 256] Step: 56,512 | Reward: -17.56 | Avg-100: -65.17 | Speed: 967805 steps/s
[EPISODE 257] Step: 56,560 | Reward: -166.04 | Avg-100: -62.84 | Speed: 1257681 steps/s
[BEST MODEL] New record! Avg Reward: -62.84
[EPISODE 258] Step: 57,728 | Reward: -203.14 | Avg-100: -65.12 | Speed: 20224 steps/s
[EPISODE 259] Step: 58,112 | Reward: -174.41 | Avg-100: -66.92 | Speed: 139948 steps/s
[EPISODE 260] Step: 58,128 | Reward: -41.57 | Avg-100: -64.30 | Speed: 1467885 steps/s
[EPISODE 261] Step: 58,240 | Reward: 12.35 | Avg-100: -64.02 | Speed: 384728 steps/s
[EPISODE 262] Step: 58,416 | Reward: -36.26 | Avg-100: -64.13 | Speed: 368192 steps/s
[EPISODE 263] Step: 58,480 | Reward: -234.30 | Avg-100: -66.15 | Speed: 1052156 steps/s
[EPISODE 264] Step: 59,392 | Reward: 23.35 | Avg-100: -65.75 | Speed: 62376 steps/s
[EPISODE 265] Step: 59,424 | Reward: -74.82 | Avg-100: -66.39 | Speed: 1796391 steps/s
[EPISODE 266] Step: 59,456 | Reward: -223.19 | Avg-100: -68.60 | Speed: 1849145 steps/s
[EPISODE 267] Step: 59,936 | Reward: 28.26 | Avg-100: -67.92 | Speed: 128985 steps/s
[EPISODE 268] Step: 60,096 | Reward: -112.63 | Avg-100: -68.00 | Speed: 350901 steps/s
[EPISODE 269] Step: 60,384 | Reward: -218.49 | Avg-100: -69.36 | Speed: 199992 steps/s
[EPISODE 270] Step: 60,384 | Reward: -1.12 | Avg-100: -65.55 | Speed: 0 steps/s
[EPISODE 271] Step: 60,480 | Reward: -27.27 | Avg-100: -65.61 | Speed: 651811 steps/s
[EPISODE 272] Step: 60,976 | Reward: 5.07 | Avg-100: -62.24 | Speed: 104135 steps/s
[EPISODE 273] Step: 61,136 | Reward: 20.61 | Avg-100: -62.06 | Speed: 271914 steps/s
[EPISODE 274] Step: 61,456 | Reward: -211.43 | Avg-100: -64.15 | Speed: 140877 steps/s
[EPISODE 275] Step: 61,520 | Reward: -7.23 | Avg-100: -61.01 | Speed: 945119 steps/s
[EPISODE 276] Step: 61,824 | Reward: -304.95 | Avg-100: -63.46 | Speed: 202203 steps/s
[EPISODE 277] Step: 61,920 | Reward: -51.93 | Avg-100: -63.99 | Speed: 619651 steps/s
[EPISODE 278] Step: 61,984 | Reward: -28.78 | Avg-100: -62.86 | Speed: 1004104 steps/s
[EPISODE 279] Step: 62,032 | Reward: -1.34 | Avg-100: -61.83 | Speed: 1286999 steps/s
[EPISODE 280] Step: 62,080 | Reward: -6.83 | Avg-100: -61.54 | Speed: 1266886 steps/s
[EPISODE 281] Step: 62,352 | Reward: 36.32 | Avg-100: -59.79 | Speed: 198140 steps/s
[EPISODE 282] Step: 62,576 | Reward: -48.61 | Avg-100: -59.83 | Speed: 242910 steps/s
[EPISODE 283] Step: 62,688 | Reward: -230.53 | Avg-100: -59.21 | Speed: 576920 steps/s
[EPISODE 284] Step: 62,736 | Reward: -7.01 | Avg-100: -59.47 | Speed: 1027824 steps/s
[EPISODE 285] Step: 63,136 | Reward: -44.57 | Avg-100: -59.45 | Speed: 140997 steps/s
[EPISODE 286] Step: 63,328 | Reward: -117.14 | Avg-100: -60.52 | Speed: 315111 steps/s
[EPISODE 287] Step: 63,376 | Reward: 0.62 | Avg-100: -59.68 | Speed: 1296611 steps/s
[EPISODE 288] Step: 63,456 | Reward: 33.93 | Avg-100: -56.65 | Speed: 713691 steps/s
[EPISODE 289] Step: 63,584 | Reward: 0.47 | Avg-100: -56.78 | Speed: 439061 steps/s
