[INFO] Creating 24 parallel environments...
[INFO] State Dimension: 105
[INFO] Action Dimension: 8
[INFO] Parallel Envs: 24
[INFO] Expected Time: ~30 minutes for 8M steps!

============================================================
[START] FIXED PARALLEL TRAINING
============================================================

[EPISODE 424] Step: 84,912 | Reward: -14.07 | Avg-100: -112.67
[EPISODE 425] Step: 84,984 | Reward: -13.50 | Avg-100: -112.64
[EPISODE 426] Step: 85,560 | Reward: -416.71 | Avg-100: -115.99
[EPISODE 427] Step: 85,632 | Reward: -14.97 | Avg-100: -111.45
[EPISODE 428] Step: 85,704 | Reward: -63.48 | Avg-100: -112.02
[EPISODE 429] Step: 85,896 | Reward: -32.20 | Avg-100: -112.41
[EPISODE 430] Step: 86,160 | Reward: -409.46 | Avg-100: -116.21
[EPISODE 431] Step: 86,184 | Reward: -79.31 | Avg-100: -116.28
[EPISODE 432] Step: 86,208 | Reward: -42.30 | Avg-100: -116.65
[EPISODE 433] Step: 86,400 | Reward: -31.02 | Avg-100: -116.09
[EPISODE 434] Step: 86,544 | Reward: -49.41 | Avg-100: -115.70
[EPISODE 435] Step: 87,120 | Reward: -533.34 | Avg-100: -116.36
[EPISODE 436] Step: 87,264 | Reward: -66.20 | Avg-100: -116.08
[EPISODE 437] Step: 87,456 | Reward: -22.11 | Avg-100: -115.81
[EPISODE 438] Step: 87,480 | Reward: -41.87 | Avg-100: -115.10
[EPISODE 439] Step: 87,528 | Reward: -60.83 | Avg-100: -115.47
[EPISODE 440] Step: 87,672 | Reward: -29.39 | Avg-100: -112.92
[EPISODE 441] Step: 87,696 | Reward: -70.81 | Avg-100: -113.58
[EPISODE 442] Step: 87,840 | Reward: -9.26 | Avg-100: -113.33
