[INFO] Creating 12 parallel environments...
[INFO] Using DummyVecEnv (no IPC overhead!)
[INFO] State Dimension: 105
[INFO] Action Dimension: 8
[INFO] Parallel Envs: 12
[INFO] Rollout Steps: 512
[INFO] Expected Time: ~30-35 minutes for 8M steps!
[INFO] VANILLA MODE: Ant-v5 base reward only!
[INFO] Anti-hopping: Built-in contact_cost penalty!

============================================================
[START] OPTIMIZED VANILLA TRAINING
============================================================

[EPISODE 299] Step: 63,936 | Reward: -13.99 | Avg-100: -41.85 | Speed: 1556461 steps/s
[EPISODE 300] Step: 64,092 | Reward: 23.41 | Avg-100: -41.51 | Speed: 446176 steps/s
[EPISODE 301] Step: 64,284 | Reward: 0.55 | Avg-100: -41.56 | Speed: 347145 steps/s
[EPISODE 302] Step: 64,332 | Reward: 46.34 | Avg-100: -40.51 | Speed: 1349020 steps/s
[EPISODE 303] Step: 64,392 | Reward: 2.14 | Avg-100: -40.55 | Speed: 1166153 steps/s
[EPISODE 304] Step: 64,668 | Reward: -18.30 | Avg-100: -40.79 | Speed: 243775 steps/s
[EPISODE 305] Step: 64,788 | Reward: -145.42 | Avg-100: -42.26 | Speed: 567426 steps/s
[EPISODE 306] Step: 64,932 | Reward: -7.68 | Avg-100: -42.49 | Speed: 435478 steps/s
[EPISODE 307] Step: 64,968 | Reward: 4.40 | Avg-100: -40.01 | Speed: 1711591 steps/s
[EPISODE 308] Step: 64,980 | Reward: -18.40 | Avg-100: -37.30 | Speed: 4710108 steps/s
[EPISODE 309] Step: 65,148 | Reward: 0.34 | Avg-100: -36.77 | Speed: 416417 steps/s
[EPISODE 310] Step: 65,328 | Reward: -20.69 | Avg-100: -36.60 | Speed: 367529 steps/s
[EPISODE 311] Step: 65,352 | Reward: 6.28 | Avg-100: -35.35 | Speed: 2364094 steps/s
[EPISODE 312] Step: 65,628 | Reward: 0.89 | Avg-100: -34.87 | Speed: 231572 steps/s
[EPISODE 313] Step: 65,784 | Reward: -19.37 | Avg-100: -31.46 | Speed: 441872 steps/s
[EPISODE 314] Step: 65,988 | Reward: 7.01 | Avg-100: -31.57 | Speed: 327950 steps/s
[EPISODE 315] Step: 66,204 | Reward: -32.87 | Avg-100: -31.91 | Speed: 300296 steps/s
[EPISODE 316] Step: 66,516 | Reward: 11.73 | Avg-100: -29.63 | Speed: 208405 steps/s
[EPISODE 317] Step: 67,284 | Reward: -47.87 | Avg-100: -30.27 | Speed: 85183 steps/s
[BEST MODEL] New record! Avg Reward: -30.27
[EPISODE 318] Step: 67,932 | Reward: -105.30 | Avg-100: -28.25 | Speed: 34078 steps/s
[EPISODE 319] Step: 68,004 | Reward: -53.55 | Avg-100: -27.61 | Speed: 552323 steps/s
[EPISODE 320] Step: 68,064 | Reward: -93.91 | Avg-100: -27.82 | Speed: 839628 steps/s
[EPISODE 321] Step: 68,196 | Reward: 2.88 | Avg-100: -27.72 | Speed: 459395 steps/s
[EPISODE 322] Step: 68,364 | Reward: -77.13 | Avg-100: -28.46 | Speed: 217448 steps/s
[EPISODE 323] Step: 68,748 | Reward: 15.78 | Avg-100: -27.95 | Speed: 97406 steps/s
[EPISODE 324] Step: 69,492 | Reward: -152.23 | Avg-100: -29.15 | Speed: 75378 steps/s
[EPISODE 325] Step: 69,612 | Reward: 5.50 | Avg-100: -28.80 | Speed: 396833 steps/s
[EPISODE 326] Step: 70,056 | Reward: -18.53 | Avg-100: -28.92 | Speed: 94660 steps/s
[EPISODE 327] Step: 70,296 | Reward: 14.51 | Avg-100: -28.88 | Speed: 240404 steps/s
[EPISODE 328] Step: 70,404 | Reward: -130.75 | Avg-100: -30.06 | Speed: 556891 steps/s
[EPISODE 329] Step: 70,536 | Reward: -7.93 | Avg-100: -29.27 | Speed: 446625 steps/s
[EPISODE 330] Step: 70,656 | Reward: -95.84 | Avg-100: -30.20 | Speed: 485015 steps/s
[EPISODE 331] Step: 71,208 | Reward: -1.81 | Avg-100: -30.36 | Speed: 103613 steps/s
[EPISODE 332] Step: 71,340 | Reward: -27.22 | Avg-100: -30.75 | Speed: 429172 steps/s
[EPISODE 333] Step: 71,376 | Reward: 35.36 | Avg-100: -30.39 | Speed: 1734122 steps/s
[EPISODE 334] Step: 71,460 | Reward: -122.33 | Avg-100: -31.09 | Speed: 698465 steps/s
[EPISODE 335] Step: 71,760 | Reward: -118.05 | Avg-100: -31.73 | Speed: 171515 steps/s
[EPISODE 336] Step: 71,976 | Reward: -7.68 | Avg-100: -29.28 | Speed: 280419 steps/s
[EPISODE 337] Step: 72,132 | Reward: -76.80 | Avg-100: -29.85 | Speed: 373606 steps/s
[EPISODE 338] Step: 72,252 | Reward: -43.30 | Avg-100: -30.17 | Speed: 480661 steps/s
