[INFO] State Dimension: 105
[INFO] Action Dimension: 8
[INFO] Max Action Value: 1.0
[INFO] Total Timesteps: 12,000,000

============================================================
🎬 EĞİTİM BAŞLIYOR
============================================================

🎮 Episode 266 | Step: 23,197 | Reward: -150.15 | Avg-100: -238.76
🎮 Episode 267 | Step: 23,588 | Reward: -1755.78 | Avg-100: -255.27
🎮 Episode 268 | Step: 23,615 | Reward: -105.55 | Avg-100: -253.23
🎮 Episode 269 | Step: 23,639 | Reward: -107.71 | Avg-100: -253.56
🎮 Episode 270 | Step: 23,692 | Reward: -142.17 | Avg-100: -254.17
🎮 Episode 271 | Step: 23,721 | Reward: -76.87 | Avg-100: -253.95
🎮 Episode 272 | Step: 23,743 | Reward: -108.19 | Avg-100: -253.56
🎮 Episode 273 | Step: 23,756 | Reward: -53.56 | Avg-100: -252.18
🎮 Episode 274 | Step: 23,833 | Reward: -313.75 | Avg-100: -254.91
🎮 Episode 275 | Step: 23,848 | Reward: -53.38 | Avg-100: -254.95
🎮 Episode 276 | Step: 23,861 | Reward: -61.30 | Avg-100: -254.95
🎮 Episode 277 | Step: 23,878 | Reward: -25.15 | Avg-100: -252.54
🎮 Episode 278 | Step: 23,920 | Reward: -167.54 | Avg-100: -253.27
🎮 Episode 279 | Step: 23,940 | Reward: -83.22 | Avg-100: -253.17
🎮 Episode 280 | Step: 24,006 | Reward: -356.02 | Avg-100: -254.75
🎮 Episode 281 | Step: 24,625 | Reward: -2620.37 | Avg-100: -280.42
🎮 Episode 282 | Step: 24,641 | Reward: -61.43 | Avg-100: -280.12
🎮 Episode 283 | Step: 24,679 | Reward: -193.52 | Avg-100: -281.03
🎮 Episode 284 | Step: 24,698 | Reward: -64.41 | Avg-100: -281.29
🎮 Episode 285 | Step: 24,712 | Reward: -62.03 | Avg-100: -279.41
🎮 Episode 286 | Step: 24,728 | Reward: -70.81 | Avg-100: -278.66
🎮 Episode 287 | Step: 24,745 | Reward: -83.75 | Avg-100: -278.63
🎮 Episode 288 | Step: 24,775 | Reward: -97.35 | Avg-100: -276.97
🎮 Episode 289 | Step: 24,802 | Reward: -92.21 | Avg-100: -276.51
🎮 Episode 290 | Step: 24,831 | Reward: -111.14 | Avg-100: -276.99
🎮 Episode 291 | Step: 25,160 | Reward: -1509.19 | Avg-100: -291.20
🎮 Episode 292 | Step: 25,175 | Reward: -48.87 | Avg-100: -290.43
🎮 Episode 293 | Step: 25,185 | Reward: -35.21 | Avg-100: -287.47
🎮 Episode 294 | Step: 25,213 | Reward: -121.03 | Avg-100: -285.88
🎮 Episode 295 | Step: 25,230 | Reward: -62.36 | Avg-100: -284.67
🎮 Episode 296 | Step: 25,251 | Reward: -78.10 | Avg-100: -283.33
🎮 Episode 297 | Step: 25,285 | Reward: -125.71 | Avg-100: -246.87
🎮 Episode 298 | Step: 25,319 | Reward: -138.47 | Avg-100: -247.82
🎮 Episode 299 | Step: 25,363 | Reward: -169.99 | Avg-100: -209.66
🎮 Episode 300 | Step: 25,383 | Reward: -97.25 | Avg-100: -209.93
🎮 Episode 301 | Step: 25,418 | Reward: -142.17 | Avg-100: -210.84
🎮 Episode 302 | Step: 25,475 | Reward: -279.25 | Avg-100: -213.33
🎮 Episode 303 | Step: 25,494 | Reward: -69.71 | Avg-100: -213.65
🎮 Episode 304 | Step: 25,504 | Reward: -56.89 | Avg-100: -213.48
🎮 Episode 305 | Step: 25,533 | Reward: -81.37 | Avg-100: -213.88
🎮 Episode 306 | Step: 25,556 | Reward: -130.58 | Avg-100: -213.10
🎮 Episode 307 | Step: 25,598 | Reward: -197.39 | Avg-100: -212.85
🎮 Episode 308 | Step: 25,651 | Reward: -237.18 | Avg-100: -213.93
🎮 Episode 309 | Step: 25,662 | Reward: -41.73 | Avg-100: -212.81
🎮 Episode 310 | Step: 25,675 | Reward: -53.01 | Avg-100: -212.87
🎮 Episode 311 | Step: 25,702 | Reward: -79.36 | Avg-100: -213.38
🎮 Episode 312 | Step: 25,733 | Reward: -142.26 | Avg-100: -214.22
🎮 Episode 313 | Step: 25,749 | Reward: -66.41 | Avg-100: -213.17
🎮 Episode 314 | Step: 25,774 | Reward: -127.83 | Avg-100: -213.48
🎮 Episode 315 | Step: 25,795 | Reward: -132.53 | Avg-100: -214.11
🎮 Episode 316 | Step: 25,833 | Reward: -125.59 | Avg-100: -214.02
🎮 Episode 317 | Step: 25,847 | Reward: -70.66 | Avg-100: -213.75
🎮 Episode 318 | Step: 26,847 | Reward: -4347.19 | Avg-100: -256.55
🎮 Episode 319 | Step: 26,913 | Reward: -296.53 | Avg-100: -258.60
🎮 Episode 320 | Step: 26,948 | Reward: -191.69 | Avg-100: -260.09
🎮 Episode 321 | Step: 26,994 | Reward: -182.31 | Avg-100: -260.90
🎮 Episode 322 | Step: 27,854 | Reward: -3987.76 | Avg-100: -300.30
🎮 Episode 323 | Step: 27,878 | Reward: -109.60 | Avg-100: -300.66
🎮 Episode 324 | Step: 27,888 | Reward: -40.13 | Avg-100: -300.23
🎮 Episode 325 | Step: 27,898 | Reward: -44.20 | Avg-100: -300.13
🎮 Episode 326 | Step: 27,910 | Reward: -60.11 | Avg-100: -300.26
🎮 Episode 327 | Step: 27,937 | Reward: -91.44 | Avg-100: -300.26
🎮 Episode 328 | Step: 27,967 | Reward: -142.55 | Avg-100: -300.78
