[INFO] State Dimension: 105
[INFO] Action Dimension: 8
[INFO] Max Action Value: 1.0
[INFO] Total Timesteps: 15,000,000
[WARNING] BALANCED MODE - Forward velocity dominant!

============================================================
[START] BALANCED TRAINING STARTED
============================================================

[EPISODE 236] Step: 20,362 | Reward: -608.99 | Avg-100: -266.37
[EPISODE 237] Step: 20,473 | Reward: -428.21 | Avg-100: -268.72
[EPISODE 238] Step: 20,492 | Reward: -87.73 | Avg-100: -268.57
[EPISODE 239] Step: 20,604 | Reward: -314.92 | Avg-100: -271.00
[EPISODE 240] Step: 20,674 | Reward: -299.66 | Avg-100: -273.63
[EPISODE 241] Step: 20,700 | Reward: -108.16 | Avg-100: -273.60
[EPISODE 242] Step: 20,808 | Reward: -491.68 | Avg-100: -276.89
[EPISODE 243] Step: 20,873 | Reward: -294.28 | Avg-100: -279.16
[EPISODE 244] Step: 20,883 | Reward: -34.86 | Avg-100: -279.17
[EPISODE 245] Step: 20,915 | Reward: -118.95 | Avg-100: -277.94
[EPISODE 246] Step: 20,949 | Reward: -132.93 | Avg-100: -245.56
[EPISODE 247] Step: 21,006 | Reward: -255.75 | Avg-100: -247.45
[EPISODE 248] Step: 21,098 | Reward: -368.22 | Avg-100: -248.08
[EPISODE 249] Step: 21,121 | Reward: -116.27 | Avg-100: -248.07
[EPISODE 250] Step: 21,186 | Reward: -330.96 | Avg-100: -250.84
[EPISODE 251] Step: 21,263 | Reward: -323.94 | Avg-100: -246.41
[EPISODE 252] Step: 21,274 | Reward: -40.28 | Avg-100: -244.64
[EPISODE 253] Step: 21,306 | Reward: -148.18 | Avg-100: -242.52
[EPISODE 254] Step: 21,333 | Reward: -133.84 | Avg-100: -241.90
[EPISODE 255] Step: 21,349 | Reward: -57.84 | Avg-100: -241.21
[EPISODE 256] Step: 21,383 | Reward: -146.25 | Avg-100: -242.15
[EPISODE 257] Step: 21,424 | Reward: -166.10 | Avg-100: -241.91
[EPISODE 258] Step: 21,438 | Reward: -68.25 | Avg-100: -241.72
[EPISODE 259] Step: 21,449 | Reward: -37.42 | Avg-100: -239.78
[EPISODE 260] Step: 21,482 | Reward: -159.05 | Avg-100: -239.99
[EPISODE 261] Step: 21,494 | Reward: -41.83 | Avg-100: -239.55
[EPISODE 262] Step: 21,515 | Reward: -80.86 | Avg-100: -237.42
[EPISODE 263] Step: 21,571 | Reward: -179.90 | Avg-100: -237.26
[EPISODE 264] Step: 21,634 | Reward: -234.51 | Avg-100: -238.72
[EPISODE 265] Step: 21,676 | Reward: -162.37 | Avg-100: -239.73
[EPISODE 266] Step: 21,690 | Reward: -61.88 | Avg-100: -238.97
[EPISODE 267] Step: 21,772 | Reward: -314.25 | Avg-100: -241.87
